WORK_ZONE_NAME;ZIPCODE;PAIS;ESTATUS;WORK_ZONE_LABEL
DARIEN, PINOGANA, C.P. 050204;050204;PA;active;PA050204
DARIEN, PINOGANA, C.P. 050203;050203;PA;active;PA050203
DARIEN, PINOGANA, C.P. 050202;050202;PA;active;PA050202
DARIEN, PINOGANA, C.P. 050201;050201;PA;active;PA050201
DARIEN, CHEPIGANA, C.P. 050115;050115;PA;active;PA050115
DARIEN, CHEPIGANA, C.P. 050114;050114;PA;active;PA050114
DARIEN, CHEPIGANA, C.P. 050113;050113;PA;active;PA050113
DARIEN, CHEPIGANA, C.P. 050112;050112;PA;active;PA050112
DARIEN, CHEPIGANA, C.P. 050111;050111;PA;active;PA050111
DARIEN, CHEPIGANA, C.P. 050110;050110;PA;active;PA050110
DARIEN, CHEPIGANA, C.P. 050109;050109;PA;active;PA050109
DARIEN, CHEPIGANA, C.P. 050108;050108;PA;active;PA050108
DARIEN, CHEPIGANA, C.P. 050107;050107;PA;active;PA050107
DARIEN, CHEPIGANA, C.P. 050106;050106;PA;active;PA050106
DARIEN, CHEPIGANA, C.P. 050105;050105;PA;active;PA050105
DARIEN, CHEPIGANA, C.P. 050104;050104;PA;active;PA050104
DARIEN, CHEPIGANA, C.P. 050103;050103;PA;active;PA050103
DARIEN, CHEPIGANA, C.P. 050102;050102;PA;active;PA050102
DARIEN, CHEPIGANA, C.P. 050101;050101;PA;active;PA050101
CHIRIQUI, TOLE, C.P. 041309;041309;PA;active;PA041309
CHIRIQUI, TOLE, C.P. 041308;041308;PA;active;PA041308
CHIRIQUI, TOLE, C.P. 041307;041307;PA;active;PA041307
CHIRIQUI, TOLE, C.P. 041306;041306;PA;active;PA041306
CHIRIQUI, TOLE, C.P. 041305;041305;PA;active;PA041305
CHIRIQUI, TOLE, C.P. 041304;041304;PA;active;PA041304
CHIRIQUI, TOLE, C.P. 041303;041303;PA;active;PA041303
CHIRIQUI, TOLE, C.P. 041302;041302;PA;active;PA041302
CHIRIQUI, TOLE, C.P. 041301;041301;PA;active;PA041301
CHIRIQUI, SAN LORENZO, C.P. 041205;041205;PA;active;PA041205
CHIRIQUI, SAN LORENZO, C.P. 041204;041204;PA;active;PA041204
CHIRIQUI, SAN LORENZO, C.P. 041203;041203;PA;active;PA041203
CHIRIQUI, SAN LORENZO, C.P. 041202;041202;PA;active;PA041202
CHIRIQUI, SAN LORENZO, C.P. 041201;041201;PA;active;PA041201
CHIRIQUI, SAN FELIX, C.P. 041105;041105;PA;active;PA041105
CHIRIQUI, SAN FELIX, C.P. 041104;041104;PA;active;PA041104
CHIRIQUI, REMEDIOS, C.P. 041103;041103;PA;active;PA041103
CHIRIQUI, SAN FELIX, C.P. 041102;041102;PA;active;PA041102
CHIRIQUI, SAN FELIX, C.P. 041101;041101;PA;active;PA041101
CHIRIQUI, RENACIMIENTO, C.P. 041008;041008;PA;active;PA041008
CHIRIQUI, RENACIMIENTO, C.P. 041007;041007;PA;active;PA041007
CHIRIQUI, RENACIMIENTO, C.P. 041006;041006;PA;active;PA041006
CHIRIQUI, RENACIMIENTO, C.P. 041005;041005;PA;active;PA041005
CHIRIQUI, RENACIMIENTO, C.P. 041004;041004;PA;active;PA041004
CHIRIQUI, RENACIMIENTO, C.P. 041003;041003;PA;active;PA041003
CHIRIQUI, RENACIMIENTO, C.P. 041002;041002;PA;active;PA041002
CHIRIQUI, RENACIMIENTO, C.P. 041001;041001;PA;active;PA041001
CHIRIQUI, REMEDIOS, C.P. 040905;040905;PA;active;PA040905
CHIRIQUI, REMEDIOS, C.P. 040904;040904;PA;active;PA040904
CHIRIQUI, REMEDIOS, C.P. 040903;040903;PA;active;PA040903
CHIRIQUI, REMEDIOS, C.P. 040901;040901;PA;active;PA040901
CHIRIQUI, GUALACA, C.P. 040805;040805;PA;active;PA040805
CHIRIQUI, GUALACA, C.P. 040804;040804;PA;active;PA040804
CHIRIQUI, GUALACA, C.P. 040803;040803;PA;active;PA040803
CHIRIQUI, GUALACA, C.P. 040802;040802;PA;active;PA040802
CHIRIQUI, GUALACA, C.P. 040801;040801;PA;active;PA040801
CHIRIQUI, DOLEGA, C.P. 040707;040707;PA;active;PA040707
CHIRIQUI, BOQUERON, C.P. 040706;040706;PA;active;PA040706
CHIRIQUI, DOLEGA, C.P. 040705;040705;PA;active;PA040705
CHIRIQUI, DOLEGA, C.P. 040704;040704;PA;active;PA040704
CHIRIQUI, DOLEGA, C.P. 040703;040703;PA;active;PA040703
CHIRIQUI, DOLEGA, C.P. 040702;040702;PA;active;PA040702
CHIRIQUI, DOLEGA, C.P. 040701;040701;PA;active;PA040701
CHIRIQUI, DAVID, C.P. 040609;040609;PA;active;PA040609
CHIRIQUI, DAVID, C.P. 040608;040608;PA;active;PA040608
CHIRIQUI, DAVID, C.P. 040607;040607;PA;active;PA040607
CHIRIQUI, DAVID, C.P. 040606;040606;PA;active;PA040606
CHIRIQUI, DAVID, C.P. 040605;040605;PA;active;PA040605
CHIRIQUI, DAVID, C.P. 040604;040604;PA;active;PA040604
CHIRIQUI, DAVID, C.P. 040603;040603;PA;active;PA040603
CHIRIQUI, DAVID, C.P. 040602;040602;PA;active;PA040602
CHIRIQUI, DAVID, C.P. 040601;040601;PA;active;PA040601
CHIRIQUI, BUGABA, C.P. 040513;040513;PA;active;PA040513
CHIRIQUI, BUGABA, C.P. 040512;040512;PA;active;PA040512
CHIRIQUI, BUGABA, C.P. 040511;040511;PA;active;PA040511
CHIRIQUI, BUGABA, C.P. 040510;040510;PA;active;PA040510
CHIRIQUI, BUGABA, C.P. 040509;040509;PA;active;PA040509
CHIRIQUI, BUGABA, C.P. 040508;040508;PA;active;PA040508
CHIRIQUI, BUGABA, C.P. 040507;040507;PA;active;PA040507
CHIRIQUI, BUGABA, C.P. 040505;040505;PA;active;PA040505
CHIRIQUI, BUGABA, C.P. 040504;040504;PA;active;PA040504
CHIRIQUI, BUGABA, C.P. 040503;040503;PA;active;PA040503
CHIRIQUI, BUGABA, C.P. 040502;040502;PA;active;PA040502
CHIRIQUI, BUGABA, C.P. 040501;040501;PA;active;PA040501
CHIRIQUI, BOQUETE, C.P. 040405;040405;PA;active;PA040405
CHIRIQUI, BOQUETE, C.P. 040404;040404;PA;active;PA040404
CHIRIQUI, BOQUETE, C.P. 040403;040403;PA;active;PA040403
CHIRIQUI, BOQUETE, C.P. 040402;040402;PA;active;PA040402
CHIRIQUI, BOQUETE, C.P. 040401;040401;PA;active;PA040401
CHIRIQUI, BOQUERON, C.P. 040308;040308;PA;active;PA040308
CHIRIQUI, BOQUERON, C.P. 040307;040307;PA;active;PA040307
CHIRIQUI, BOQUERON, C.P. 040306;040306;PA;active;PA040306
CHIRIQUI, BOQUERON, C.P. 040305;040305;PA;active;PA040305
CHIRIQUI, BOQUERON, C.P. 040304;040304;PA;active;PA040304
CHIRIQUI, BOQUERON, C.P. 040301;040301;PA;active;PA040301
CHIRIQUI, BARU, C.P. 040205;040205;PA;active;PA040205
CHIRIQUI, BARU, C.P. 040204;040204;PA;active;PA040204
CHIRIQUI, BARU, C.P. 040203;040203;PA;active;PA040203
CHIRIQUI, BARU, C.P. 040202;040202;PA;active;PA040202
CHIRIQUI, BARU, C.P. 040201;040201;PA;active;PA040201
CHIRIQUI, ALANJE, C.P. 040110;040110;PA;active;PA040110
CHIRIQUI, ALANJE, C.P. 040108;040108;PA;active;PA040108
CHIRIQUI, ALANJE, C.P. 040107;040107;PA;active;PA040107
CHIRIQUI, ALANJE, C.P. 040106;040106;PA;active;PA040106
CHIRIQUI, BUGABA, C.P. 040105;040105;PA;active;PA040105
CHIRIQUI, ALANJE, C.P. 040104;040104;PA;active;PA040104
CHIRIQUI, ALANJE, C.P. 040103;040103;PA;active;PA040103
CHIRIQUI, ALANJE, C.P. 040102;040102;PA;active;PA040102
CHIRIQUI, ALANJE, C.P. 040101;040101;PA;active;PA040101
COLON, SANTA ISABEL, C.P. 030508;030508;PA;active;PA030508
COLON, SANTA ISABEL, C.P. 030506;030506;PA;active;PA030506
COLON, SANTA ISABEL, C.P. 030505;030505;PA;active;PA030505
COLON, SANTA ISABEL, C.P. 030504;030504;PA;active;PA030504
COLON, SANTA ISABEL, C.P. 030503;030503;PA;active;PA030503
COLON, SANTA ISABEL, C.P. 030502;030502;PA;active;PA030502
COLON, SANTA ISABEL, C.P. 030501;030501;PA;active;PA030501
COLON, PORTOBELO, C.P. 030405;030405;PA;active;PA030405
COLON, PORTOBELO, C.P. 030404;030404;PA;active;PA030404
COLON, PORTOBELO, C.P. 030403;030403;PA;active;PA030403
COLON, PORTOBELO, C.P. 030402;030402;PA;active;PA030402
COLON, PORTOBELO, C.P. 030401;030401;PA;active;PA030401
COLON, DONOSO, C.P. 030306;030306;PA;active;PA030306
COLON, DONOSO, C.P. 030305;030305;PA;active;PA030305
COLON, DONOSO, C.P. 030304;030304;PA;active;PA030304
COLON, DONOSO, C.P. 030303;030303;PA;active;PA030303
COLON, DONOSO, C.P. 030302;030302;PA;active;PA030302
COLON, DONOSO, C.P. 030301;030301;PA;active;PA030301
COLON, CHAGRES, C.P. 030207;030207;PA;active;PA030207
COLON, CHAGRES, C.P. 030205;030205;PA;active;PA030205
COLON, CHAGRES, C.P. 030204;030204;PA;active;PA030204
COLON, CHAGRES, C.P. 030203;030203;PA;active;PA030203
COLON, CHAGRES, C.P. 030202;030202;PA;active;PA030202
COLON, CHAGRES, C.P. 030201;030201;PA;active;PA030201
COLON, COLON, C.P. 030114;030114;PA;active;PA030114
COLON, COLON, C.P. 030113;030113;PA;active;PA030113
COLON, COLON, C.P. 030112;030112;PA;active;PA030112
COLON, COLON, C.P. 030111;030111;PA;active;PA030111
COLON, COLON, C.P. 030110;030110;PA;active;PA030110
COLON, COLON, C.P. 030109;030109;PA;active;PA030109
COLON, COLON, C.P. 030108;030108;PA;active;PA030108
COLON, COLON, C.P. 030107;030107;PA;active;PA030107
COLON, COLON, C.P. 030106;030106;PA;active;PA030106
COLON, COLON, C.P. 030105;030105;PA;active;PA030105
COLON, COLON, C.P. 030104;030104;PA;active;PA030104
COLON, COLON, C.P. 030103;030103;PA;active;PA030103
COLON, COLON, C.P. 030102;030102;PA;active;PA030102
COLON, COLON, C.P. 030101;030101;PA;active;PA030101
COCLE, PENONOME, C.P. 020610;020610;PA;active;PA020610
COCLE, PENONOME, C.P. 020609;020609;PA;active;PA020609
COCLE, PENONOME, C.P. 020608;020608;PA;active;PA020608
COCLE, PENONOME, C.P. 020607;020607;PA;active;PA020607
COCLE, PENONOME, C.P. 020606;020606;PA;active;PA020606
COCLE, PENONOME, C.P. 020605;020605;PA;active;PA020605
COCLE, PENONOME, C.P. 020604;020604;PA;active;PA020604
COCLE, PENONOME, C.P. 020603;020603;PA;active;PA020603
COCLE, PENONOME, C.P. 020602;020602;PA;active;PA020602
COCLE, PENONOME, C.P. 020601;020601;PA;active;PA020601
COCLE, OLA, C.P. 020505;020505;PA;active;PA020505
COCLE, OLA, C.P. 020504;020504;PA;active;PA020504
COCLE, OLA, C.P. 020503;020503;PA;active;PA020503
COCLE, OLA, C.P. 020502;020502;PA;active;PA020502
COCLE, OLA, C.P. 020501;020501;PA;active;PA020501
COCLE, NATA, C.P. 020406;020406;PA;active;PA020406
COCLE, NATA, C.P. 020405;020405;PA;active;PA020405
COCLE, NATA, C.P. 020404;020404;PA;active;PA020404
COCLE, NATA, C.P. 020403;020403;PA;active;PA020403
COCLE, NATA, C.P. 020402;020402;PA;active;PA020402
COCLE, NATA, C.P. 020401;020401;PA;active;PA020401
COCLE, LA PINTADA, C.P. 020305;020305;PA;active;PA020305
COCLE, LA PINTADA, C.P. 020304;020304;PA;active;PA020304
COCLE, LA PINTADA, C.P. 020303;020303;PA;active;PA020303
COCLE, LA PINTADA, C.P. 020302;020302;PA;active;PA020302
COCLE, LA PINTADA, C.P. 020301;020301;PA;active;PA020301
COCLE, ANTON, C.P. 020210;020210;PA;active;PA020210
COCLE, ANTON, C.P. 020209;020209;PA;active;PA020209
COCLE, ANTON, C.P. 020208;020208;PA;active;PA020208
COCLE, ANTON, C.P. 020207;020207;PA;active;PA020207
COCLE, ANTON, C.P. 020206;020206;PA;active;PA020206
COCLE, ANTON, C.P. 020205;020205;PA;active;PA020205
COCLE, ANTON, C.P. 020204;020204;PA;active;PA020204
COCLE, ANTON, C.P. 020203;020203;PA;active;PA020203
COCLE, ANTON, C.P. 020202;020202;PA;active;PA020202
COCLE, ANTON, C.P. 020201;020201;PA;active;PA020201
COCLE, AGUADULCE, C.P. 020105;020105;PA;active;PA020105
COCLE, AGUADULCE, C.P. 020104;020104;PA;active;PA020104
COCLE, AGUADULCE, C.P. 020103;020103;PA;active;PA020103
COCLE, AGUADULCE, C.P. 020102;020102;PA;active;PA020102
COCLE, AGUADULCE, C.P. 020101;020101;PA;active;PA020101
BOCAS DEL TORO, CHIRIQUI GRANDE, C.P. 010305;010305;PA;active;PA010305
BOCAS DEL TORO, CHIRIQUI GRANDE, C.P. 010304;010304;PA;active;PA010304
BOCAS DEL TORO, CHIRIQUI GRANDE, C.P. 010303;010303;PA;active;PA010303
BOCAS DEL TORO, CHIRIQUI GRANDE, C.P. 010302;010302;PA;active;PA010302
BOCAS DEL TORO, CHIRIQUI GRANDE, C.P. 010301;010301;PA;active;PA010301
BOCAS DEL TORO, CHANGUINOLA, C.P. 010207;010207;PA;active;PA010207
BOCAS DEL TORO, CHANGUINOLA, C.P. 010206;010206;PA;active;PA010206
BOCAS DEL TORO, CHANGUINOLA, C.P. 010205;010205;PA;active;PA010205
BOCAS DEL TORO, CHANGUINOLA, C.P. 010204;010204;PA;active;PA010204
BOCAS DEL TORO, CHANGUINOLA, C.P. 010203;010203;PA;active;PA010203
BOCAS DEL TORO, CHANGUINOLA, C.P. 010202;010202;PA;active;PA010202
BOCAS DEL TORO, CHANGUINOLA, C.P. 010201;010201;PA;active;PA010201
BOCAS DEL TORO, BOCAS DEL TORO, C.P. 010105;010105;PA;active;PA010105
BOCAS DEL TORO, BOCAS DEL TORO, C.P. 010104;010104;PA;active;PA010104
BOCAS DEL TORO, BOCAS DEL TORO, C.P. 010103;010103;PA;active;PA010103
BOCAS DEL TORO, BOCAS DEL TORO, C.P. 010102;010102;PA;active;PA010102
BOCAS DEL TORO, BOCAS DEL TORO, C.P. 010101;010101;PA;active;PA010101
